title,artist,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Love You Like A Love Song,Selena Gomez & The Scene,3.2718446601941746,3.7755102040816326,4.546391752577319,4.862068965517242,1.3783783783783785,4.755102040816327,1.7448275862068967,1.3232323232323233,1.4166666666666667,4.070707070707071
Set Fire to the Rain,Adele,3.0970873786407767,3.7755102040816326,3.515463917525773,4.862068965517242,1.7027027027027026,2.9183673469387754,2.4896551724137934,1.0,1.25,4.070707070707071
We Are Never Ever Getting Back Together,Taylor Swift,2.6699029126213594,3.7755102040816326,3.597938144329897,4.724137931034482,1.6486486486486487,4.061224489795919,1.8137931034482757,1.0404040404040404,1.75,4.03030303030303
Stronger (What Doesn't Kill You),Kelly Clarkson,3.2524271844660193,4.836734693877551,3.3092783505154637,4.862068965517242,1.5945945945945947,3.7755102040816326,2.2137931034482756,1.202020202020202,1.4166666666666667,3.98989898989899
Try,P!nk,3.0194174757281553,3.5714285714285716,3.7628865979381443,4.655172413793103,1.4864864864864864,3.2448979591836733,2.5724137931034483,1.0,1.25,3.98989898989899
Starships,Nicki Minaj,3.4271844660194173,3.938775510204082,4.092783505154639,5.0,2.3513513513513513,4.061224489795919,2.0620689655172413,1.5656565656565657,1.6666666666666665,3.9494949494949494
One More Night,Maroon 5,2.8058252427184467,4.346938775510204,3.9690721649484537,4.931034482758621,1.4324324324324325,3.5306122448979593,2.186206896551724,1.2424242424242424,1.25,3.9494949494949494
Good Time,Owl City,3.4466019417475726,4.551020408163265,3.3092783505154637,4.862068965517242,3.0,3.7755102040816326,1.993103448275862,1.0808080808080809,2.166666666666667,3.9494949494949494
Glad You Came,The Wanted,3.466019417475728,4.469387755102041,3.9690721649484537,4.862068965517242,1.5945945945945947,2.836734693877551,1.8827586206896552,1.121212121212121,1.5,3.909090909090909
Beauty And A Beat,Justin Bieber,3.4854368932038833,4.428571428571429,3.4742268041237114,4.793103448275862,1.3783783783783785,3.163265306122449,2.296551724137931,1.0,1.5,3.909090909090909
International Love,Pitbull,3.3300970873786406,4.5102040816326525,3.7628865979381443,4.931034482758621,2.8378378378378377,3.6530612244897958,2.282758620689655,1.0404040404040404,1.4166666666666667,3.909090909090909
Some Nights,fun.,3.0970873786407767,4.020408163265306,3.7628865979381443,4.655172413793103,1.4864864864864864,2.5918367346938775,2.972413793103448,1.0808080808080809,1.4166666666666667,3.909090909090909
Boyfriend,Justin Bieber,2.883495145631068,3.2448979591836733,3.9690721649484537,4.724137931034482,1.7027027027027026,2.3469387755102042,1.510344827586207,1.1616161616161615,1.4166666666666667,3.8686868686868685
Part Of Me,Katy Perry,3.5242718446601944,4.755102040816327,3.804123711340206,4.793103448275862,1.3783783783783785,4.142857142857142,2.1310344827586207,1.0,1.3333333333333333,3.8686868686868685
Domino,Jessie J,3.466019417475728,3.2448979591836733,4.1340206185567006,4.793103448275862,1.2162162162162162,4.183673469387755,2.3517241379310345,1.0404040404040404,1.25,3.787878787878788
Where Have You Been,Rihanna,3.4854368932038833,4.469387755102041,3.9690721649484537,4.724137931034482,2.1891891891891895,2.795918367346939,2.503448275862069,1.0,1.75,3.7474747474747474
Wide Awake,Katy Perry,4.106796116504855,3.7755102040816326,3.1030927835051547,4.793103448275862,3.108108108108108,3.326530612244898,2.2,1.2828282828282829,1.3333333333333333,3.7474747474747474
The One That Got Away,Katy Perry,3.6019417475728157,4.26530612244898,3.845360824742268,4.862068965517242,1.864864864864865,4.591836734693878,2.282758620689655,1.0,1.3333333333333333,3.707070707070707
Dance Again,Jennifer Lopez,3.4854368932038833,4.5102040816326525,4.257731958762887,4.793103448275862,1.5405405405405406,3.8979591836734695,2.4206896551724135,1.0808080808080809,1.5833333333333335,3.6666666666666665
Turn Up the Music,Chris Brown,3.5242718446601944,4.428571428571429,3.4329896907216493,4.724137931034482,1.864864864864865,3.6122448979591835,2.296551724137931,1.0,1.8333333333333335,3.6262626262626263
Lights - Single Version,Ellie Goulding,3.3300970873786406,4.26530612244898,3.804123711340206,4.724137931034482,1.7027027027027026,4.183673469387755,2.0620689655172413,1.121212121212121,1.3333333333333333,3.6262626262626263
We Are Young (feat. Janelle MonÃ¡e),fun.,4.572815533980583,3.6122448979591835,2.5670103092783503,4.724137931034482,1.4324324324324325,4.020408163265306,2.613793103448276,1.0808080808080809,1.6666666666666665,3.5454545454545454
Diamonds,Rihanna,2.7864077669902914,3.8979591836734695,3.3092783505154637,4.793103448275862,1.5945945945945947,2.5918367346938775,2.2551724137931037,1.0,1.4166666666666667,3.4646464646464645
Don't Stop the Party (feat. TJR),Pitbull,3.466019417475728,4.918367346938775,3.9690721649484537,4.862068965517242,3.054054054054054,4.877551020408163,1.993103448275862,1.0404040404040404,1.75,3.3838383838383836
You Da One,Rihanna,3.466019417475728,3.938775510204082,3.88659793814433,4.793103448275862,1.7027027027027026,4.5102040816326525,1.910344827586207,3.0202020202020203,1.3333333333333333,3.303030303030303
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2.7475728155339807,4.26530612244898,3.6804123711340204,4.931034482758621,2.4594594594594597,4.26530612244898,2.0620689655172413,1.121212121212121,1.8333333333333335,3.1818181818181817
It Will Rain,Bruno Mars,3.912621359223301,4.428571428571429,3.3917525773195876,4.655172413793103,1.4324324324324325,2.9591836734693877,2.7103448275862068,2.3737373737373737,1.4166666666666667,2.5353535353535355
Blow Me (One Last Kiss),P!nk,3.2135922330097086,4.755102040816327,3.4742268041237114,4.931034482758621,2.3513513513513513,4.061224489795919,2.682758620689655,1.0,1.3333333333333333,1.0
Underneath the Tree,Kelly Clarkson,4.106796116504855,4.3061224489795915,3.1030927835051547,4.793103448275862,2.135135135135135,3.816326530612245,2.3241379310344827,1.0,1.4166666666666667,4.555555555555555
Wake Me Up,Avicii,3.407766990291262,4.183673469387755,3.185567010309278,4.724137931034482,1.864864864864865,3.6122448979591835,2.5586206896551724,1.0,1.4166666666666667,4.434343434343434
Story of My Life,One Direction,3.349514563106796,3.693877551020408,3.4742268041237114,4.724137931034482,1.6486486486486487,2.183673469387755,2.5310344827586206,1.9292929292929293,1.4166666666666667,4.272727272727273
Just Give Me a Reason (feat. Nate Ruess),P!nk,2.8446601941747574,3.2448979591836733,4.216494845360825,4.655172413793103,1.7027027027027026,2.795918367346939,2.503448275862069,2.4141414141414144,1.4166666666666667,4.272727272727273
Hall of Fame,The Script,2.650485436893204,4.551020408163265,2.731958762886598,4.862068965517242,1.6486486486486487,3.5714285714285716,1.9517241379310346,1.2828282828282829,1.5,4.232323232323232
